,id,tweet,target,target_v,tema_v,target_final
0,1.22224e+18,"Ministra @EHinostrozaP: ""Trabajamos en brindar atención de calidad. Por eso, hoy entregamos una parte de todo el equipamiento con el que se fortalecerá el primer nivel de atención en los establecimientos de @dirislimanorte"" https://t.co/pNTpsxD7xv",POS,POS,pandemia,POS
1,1.22224e+18,Desde #Independencia │ Mejoramos los servicios de salud. La ministra @EHinostrozaP entrega equipamiento moderno a establecimientos de salud de @DirisLimaNorte para elevar la calidad de la atención. #TuSaludPrimero https://t.co/CK4LS2E1kL,POS,POS,pandemia,POS
2,1.23313e+18,También constató la operatividad del servicio de Telesalud que ofrece atención médica a los ciudadanos en tiempo real. El acceso a la tecnología permitió que se conecten con el Hospital Juanjuí II-E. https://t.co/R1d52omTCe,POS,POS,pandemia,POS
3,1.2331e+18,En el Día del Tecnólogo Médico saludamos a los profesionales por su gran labor y dedicación para contribuir en el bienestar y la mejora de la salud de los peruanos. ¡Felicidades! 👏 https://t.co/yN3Kvi69IJ,POS,POS,pandemia,POS
4,1.25527e+18,"#LaSaludNosUne Un total de 1.2 toneladas de equipos de protección personal, medicamentos y pruebas rápidas llegaron a Iquitos hoy. Además, una brigada técnica y dos médicos viajaron con el objetivo de fortalecer las acciones para enfrentar el #COVID19. 📲 https://t.co/txl4vH1WN1 https://t.co/HaguPYh00Z",POS,POS,pandemia,POS
5,1.25526e+18,"Ministro @victorzamora: Continuaremos con nuestros esfuerzos para que ninguna región se vea colapsada. Loreto sigue trabajando y poniendo más camas a disposición de la población, además se han enviado 29 profesionales de la salud para apoyar en la lucha contra el #COVID19. https://t.co/O2WqyEYKcS",POS,POS,pandemia,POS
6,1.25514e+18,"#AmaDonaVive │ ¡Gracias a tu solidaridad, seguimos salvando vidas! Encuéntranos en nuestros nuevos puntos de donación de sangre hasta el sábado 9 de mayo, de 9:00 a. m. a 2:00 p. m. https://t.co/VT4nuQNvX2",POS,POS,-,POS
7,1.2545e+18,"Ministro @victorzamora: Se destacó a Loreto 29 profesionales de la salud, entre ellos médicos y enfermeras. Todos los sistemas del país compartimos esfuerzos para lograr la atención necesaria a pacientes. https://t.co/2LNAG5qRls",POS,POS,pandemia,POS
8,1.25419e+18,"¡El trabajo de todos es importante! Gracias a la labor que realiza el Centro Nacional de Abastecimiento de Recursos Estratégicos en Salud, hoy se logró distribuir a las regiones 120 000 mascarillas para que nuestros #HéroesDeLaSalud desarrollen su trabajo de forma segura. https://t.co/MWOWwYJQbq",POS,POS,pandemia,POS
9,1.25418e+18,Ministro @victorzamora: Se incrementó el número de camas de cuidados intensivos de 100 a 700. Al haber reducido el número de casos y al haber aumentado la disponibilidad podemos alojar a la gran mayoría de personas que requieren hospitalización. https://t.co/way9LMSNIv,POS,POS,pandemia,POS
10,1.25406e+18,"#LaSaludNosUne El ministro @victorzamora y el alcalde de la @munijesusmaria, Jorge Quintana, lanzaron el plan Mercado Seguro. Esta iniciativa promueve la adopción de medidas preventivas en los centros de abastos con el objetivo de disminuir la transmisión de #COVID19. https://t.co/RSiOxCeCy9",POS,POS,pandemia,POS
11,1.25405e+18,"#LaSaludNosUne Hoy, 21 médicos viajan a la región Loreto para apoyar en la atención de pacientes con #COVID19. El ministro @victorzamora llegó hasta las instalaciones de la Aviación del Ejército para agradecer por su trabajo y vocación de servicio en la lucha contra la pandemia. https://t.co/GnukTpgYaR",POS,POS,pandemia,POS
