,Unnamed: 0,Unnamed: 0.1,id,tweet,tweet_sentence,len_sentence,username,date,nlikes,tweet_word,len_word,POS,NEG,NEU,target
3,3,3,1.2334916106771497e+18,"Frente a la creciente aparición de casos del COVID-19, varios países de la región están manejando diferentes estrategias de prevención en sus puertos, tanto aéreos como marítimos. Estas son algunas de las medidas que ha tomado Perú, según información de diario El Comercio Perú  https://t.co/ShgyNnTi0X","Frente a la creciente aparición de casos del COVID-19, varios países de la región están manejando diferentes estrategias de prevención en sus puertos, tanto aéreos como marítimos.",2,puertosprivados,2020-02-28 15:38:11,2.0,"['Frente', 'a', 'la', 'creciente', 'aparición', 'de', 'casos', 'del', 'COVID-19', ',', 'varios', 'países', 'de', 'la', 'región', 'están', 'manejando', 'diferentes', 'estrategias', 'de', 'prevención', 'en', 'sus', 'puertos', ',', 'tanto', 'aéreos', 'como', 'marítimos', '.']",30,0.0203004628419876,0.0289166625589132,0.9507828950881958,NEU
10,10,10,1.2334156591801303e+18,"Riesgo clave del COVID-19 es brote en países con baja capacidad estatal. China/Corea son países capaces de ejecutar planes de contención. India, Nigeria o Perú no lo son.  Un ejemplo es Irán, donde fatalidad del virus es + alta. O no se detectan casos o cobertura médica es pobre.",Riesgo clave del COVID-19 es brote en países con baja capacidad estatal.,5,AlfonsodlTorre,2020-02-28 10:36:23,2.0,"['Riesgo', 'clave', 'del', 'COVID-19', 'es', 'brote', 'en', 'países', 'con', 'baja', 'capacidad', 'estatal', '.']",13,0.0006717395153827,0.9750664830207824,0.024261774495244,NEG
11,11,11,1.2334156591801303e+18,"Riesgo clave del COVID-19 es brote en países con baja capacidad estatal. China/Corea son países capaces de ejecutar planes de contención. India, Nigeria o Perú no lo son.  Un ejemplo es Irán, donde fatalidad del virus es + alta. O no se detectan casos o cobertura médica es pobre.",China/Corea son países capaces de ejecutar planes de contención.,5,AlfonsodlTorre,2020-02-28 10:36:23,2.0,"['China/Corea', 'son', 'países', 'capaces', 'de', 'ejecutar', 'planes', 'de', 'contención', '.']",10,0.0006717395153827,0.9750664830207824,0.024261774495244,NEG
12,12,12,1.2334156591801303e+18,"Riesgo clave del COVID-19 es brote en países con baja capacidad estatal. China/Corea son países capaces de ejecutar planes de contención. India, Nigeria o Perú no lo son.  Un ejemplo es Irán, donde fatalidad del virus es + alta. O no se detectan casos o cobertura médica es pobre.","Un ejemplo es Irán, donde fatalidad del virus es + alta.",5,AlfonsodlTorre,2020-02-28 10:36:23,2.0,"['Un', 'ejemplo', 'es', 'Irán', ',', 'donde', 'fatalidad', 'del', 'virus', 'es', '+', 'alta', '.']",13,0.0006717395153827,0.9750664830207824,0.024261774495244,NEG
13,13,13,1.2334156591801303e+18,"Riesgo clave del COVID-19 es brote en países con baja capacidad estatal. China/Corea son países capaces de ejecutar planes de contención. India, Nigeria o Perú no lo son.  Un ejemplo es Irán, donde fatalidad del virus es + alta. O no se detectan casos o cobertura médica es pobre.",O no se detectan casos o cobertura médica es pobre.,5,AlfonsodlTorre,2020-02-28 10:36:23,2.0,"['O', 'no', 'se', 'detectan', 'casos', 'o', 'cobertura', 'médica', 'es', 'pobre', '.']",11,0.0006717395153827,0.9750664830207824,0.024261774495244,NEG
14,14,14,1.2334014533074002e+18,"Confirmado el primer caso de coronavirus covid-19 en la CDMX - México Brasil confirmado y Peru con caso sospechoso en Tacna. Siguen llegando pasajeros chinos de México y Perú, más el flujo en la frontera brasilera, para cuando el cierre de fronteras???????  https://t.co/fnbSssNtbp",Confirmado el primer caso de coronavirus covid-19 en la CDMX - México Brasil confirmado y Peru con caso sospechoso en Tacna.,3,PierolaMarcelo,2020-02-28 09:39:56,6.0,"['Confirmado', 'el', 'primer', 'caso', 'de', 'coronavirus', 'covid-19', 'en', 'la', 'CDMX', '-', 'México', 'Brasil', 'confirmado', 'y', 'Peru', 'con', 'caso', 'sospechoso', 'en', 'Tacna', '.']",22,0.0011867767898365,0.9773697257041932,0.0214435141533613,NEG
15,15,15,1.2334014533074002e+18,"Confirmado el primer caso de coronavirus covid-19 en la CDMX - México Brasil confirmado y Peru con caso sospechoso en Tacna. Siguen llegando pasajeros chinos de México y Perú, más el flujo en la frontera brasilera, para cuando el cierre de fronteras???????  https://t.co/fnbSssNtbp","Siguen llegando pasajeros chinos de México y Perú, más el flujo en la frontera brasilera, para cuando el cierre de fronteras???????",3,PierolaMarcelo,2020-02-28 09:39:56,6.0,"['Siguen', 'llegando', 'pasajeros', 'chinos', 'de', 'México', 'y', 'Perú', ',', 'más', 'el', 'flujo', 'en', 'la', 'frontera', 'brasilera', ',', 'para', 'cuando', 'el', 'cierre', 'de', 'fronteras', '?', '?', '?', '?', '?', '?', '?']",30,0.0011867767898365,0.9773697257041932,0.0214435141533613,NEG
16,16,16,1.2333907292271288e+18,"COMUNICADO │📢Informamos que hasta el momento no existen casos confirmados de coronavirus (Covid-19) en Perú.  🔴Sobre el paciente en investigación en Lambayeque, hoy se tendrá el resultado de las pruebas.   ☑ La información oficial está disponible en:  https://t.co/ATXAITDSWN  https://t.co/mY6zzDeDJF","🔴Sobre el paciente en investigación en Lambayeque, hoy se tendrá el resultado de las pruebas.",3,Minsa_Peru,2020-02-28 08:57:19,90.0,"['🔴Sobre', 'el', 'paciente', 'en', 'investigación', 'en', 'Lambayeque', ',', 'hoy', 'se', 'tendrá', 'el', 'resultado', 'de', 'las', 'pruebas', '.']",17,0.022302895784378,0.0313847959041595,0.9463123083114624,NEU
18,18,18,1.2447756281063178e+18,🔴#Coronavirus  Hoy el presidente #MartinVizcarra confirmó que en nuestro país hay 950 personas con COVID-19. Conoce cuántos casos hay en cada región del Perú. ▶ https://t.co/dq3L2imqFD  https://t.co/N1uJp3ZktH,🔴#Coronavirus Hoy el presidente#MartinVizcarra confirmó que en nuestro país hay 950 personas con COVID-19.,3,Caretas,2020-03-30 18:56:51,10.0,"['🔴', '#', 'Coronavirus', 'Hoy', 'el', 'presidente', '#', 'MartinVizcarra', 'confirmó', 'que', 'en', 'nuestro', 'país', 'hay', '950', 'personas', 'con', 'COVID-19', '.']",19,0.0234885197132825,0.039011888206005,0.9374996423721312,NEU
19,19,19,1.2447756281063178e+18,🔴#Coronavirus  Hoy el presidente #MartinVizcarra confirmó que en nuestro país hay 950 personas con COVID-19. Conoce cuántos casos hay en cada región del Perú. ▶ https://t.co/dq3L2imqFD  https://t.co/N1uJp3ZktH,Conoce cuántos casos hay en cada región del Perú.,3,Caretas,2020-03-30 18:56:51,10.0,"['Conoce', 'cuántos', 'casos', 'hay', 'en', 'cada', 'región', 'del', 'Perú', '.']",10,0.0234885197132825,0.039011888206005,0.9374996423721312,NEU
