,id,tweet,target,target_v,tema_v,target_final
0,1.37091e+18,"Agradecer a la ciudad Mirave , Tacna por el recibimiento . @elcomercio_peru @canalN_ @ExpresoPeru @diarioojo @ExpresoPeru @Agencia_Andina @diariocorreo https://t.co/3fBgDPSD3w",POS,POS,politico,POS
1,1.38746e+18,"Los hombres del pueblo, comen junto al pueblo. https://t.co/XVRVweLz1K",POS,POS,politico,POS
2,1.38719e+18,Gracias Piura. ¡El pueblo unido jamás será vencido! https://t.co/NeL38oLRwH,POS,POS,politico,POS
3,1.38686e+18,¡Gracias Chiclayo! https://t.co/gyAQZibJsn,POS,POS,politico,POS
4,1.38616e+18,Gracias Trujillo https://t.co/yFEDm0KQ9w,POS,POS,politico,POS
5,1.38616e+18,@PTV_Noticias Gracias Trujillo https://t.co/y4ONmw4OEI,POS,POS,politico,POS
6,1.38613e+18,"Vamos a darle toda la seguridad jurídica a los empresarios.Bienvenidos nuestros hermanos micro y pequeños empresarios, porque tendrán un gobierno que no les cerrará las puertas,no habrá una Sunat abusiva que te cierre la puerta o tu negocio. (2/2) #PalabraDeMaestro https://t.co/hk8KOELnNC",POS,POS,politico,POS
7,1.386e+18,"La verdadera encuesta está en las calles, en las manos del campesino, en la sonrisa de un niño y por sobretodo en un pueblo que no pierde la fé en el futuro. https://t.co/QVRpApUs2R",POS,POS,politico,POS
8,1.39915e+18,Hermanos/as: hoy es el día. Nos vemos a las 7 pm. #PedroCastilloPresidente https://t.co/GqqbgHZYAR,POS,POS,politico,POS
9,1.39906e+18,Un gran saludo para mis hermanas y hermanos agricultores que alimentan a nuestra patria. ¡Seremos pronto una próspera potencia papera! #PalabraDeMaestro #DíaDeLaPapa https://t.co/kPxrI0xIHF,POS,POS,politico,POS
10,1.39808e+18,"Hoy me reuní con el embajador de la #UniónEuropea en Perú, Diego Mellado (@EUAmbPeru), para tratar temas relacionados a la democracia, economía, inversión privada, comercio, apoyo técnico en proyectos de infraestructura y cooperación científica. ¡Seguimos avanzando! https://t.co/kzBeNMNuNG",POS,POS,politico,POS
11,1.39806e+18,"¡Gracias Carabayllo por este recibimiento tan cálido y potente! ¡Juntos seremos más fuertes y enfrentaremos mejor las adversidades! No nos detendremos en este camino hacia la libertad, justicia e igualdad. #PalabraDeMaestro https://t.co/eI1SXRYiGF",POS,POS,politico,POS
12,1.39666e+18,"Celeste Rosas: ""Bienvenida la minería y todo tipo de inversión que respete el medio ambiente y la vida. Eso es lo que estamos buscando"".",POS,POS,politico,POS
13,1.39627e+18,"Manchay, tierra de mujeres y hombres llenos de fuerza, valentía e historia, nos dice que el cambio es posible. ¡Estamos cerca de lograr los anhelos de justicia y libertad! #PedroCastilloPresidente2021 https://t.co/WNgmdOcjmW",POS,POS,politico,POS
14,1.39525e+18,"Cuando fui al hospital a visitar a mi compañero Víctor Rojas lo encontré casi inconsciente. Sin embargo, tras darse cuenta de mi presencia, sacó fuerzas y me dijo: «Profesor, seguiremos hasta la victoria». Inmediatamente, volvió a dormir. Estoy contigo, Víctor. ¡Saldrás adelante! https://t.co/OS6fSUPTXQ",POS,POS,politico,POS
15,1.40861e+18,"En la Ciudad Imperial del Cusco, le decimos al pueblo peruano que ya no hay ni vencidos ni vencedores: hoy somos una sola familia. El país necesita la más amplia unidad y que nos ordenemos para ir hacia una vida de prosperidad y bienestar. ¡Caminemos firmes hacia la victoria! https://t.co/CDEqbrid99",POS,POS,politico,POS
16,1.40573e+18,Muy gratificante el encuentro con los alcaldes de la Asociación de Municipalidades del Perú (AMPE). Hemos coordinado acciones de organización para el desarrollo de un país democrático grande y próspero. #PalabraDeMaestro https://t.co/mpIkMy9Bam,POS,POS,politico,POS
17,1.40572e+18,"Con los compañeros de la @CONVEAGROPERU suscribimos la propuesta por la soberanía alimentaria, la agricultura familiar y el desarrollo rural. En mi gobierno, el agro será tratado como un sector estratégico para el desarrollo nacional. Le daremos máxima prioridad #PalabraDeMaestro https://t.co/OplyDQzF1v",POS,POS,politico,POS
18,1.40493e+18,Un nuevo tiempo se ha iniciado. Millones de peruanos/as se han alzado en defensa de su dignidad y justicia. Gracias a los pueblos de todo el Perú que desde su diversidad y fuerza histórica me han brindado su confianza. Mi gobierno se deberá a toda la ciudadanía. #PalabraDeMaestro https://t.co/sOt6GResPI,POS,POS,politico,POS
19,1.40459e+18,"Nos reunimos con los alcaldes de los distritos de La Molina, San Isidro y Miraflores para impulsar el desarrollo de los pueblos priorizando la salud. Seguimos escribiendo la historia que nuestro Perú se merece. #PalabraDeMaestro https://t.co/yWDnLj72DP",POS,POS,politico,POS
20,1.40341e+18,"Continuemos caminando incansablemente, junto al pueblo, para lograr los sueños y esperanzas de todos nuestros hermanos. Abrazo grande, Fernando",POS,POS,politico,POS
21,1.40335e+18,"Seguiremos luchando por lograr un Patria Grande próspera, hermosa y fraterna. Abrazos, querido Lucho.",POS,POS,politico,POS
22,1.40306e+18,"Gracias por tus palabras, querido Alberto. Juntos trabajaremos por una América Latina más justa, democrática y libre.",POS,POS,politico,POS
23,1.42099e+18,"Nuestro gabinete es del pueblo, se debe al pueblo y va hacia él. Nuestro compromiso es con el Perú y con ningún otro interés que no fuera el de dedicar todos y cada uno de nuestros esfuerzos a construir un país más justo, libre y digno. No defraudaremos su confianza. https://t.co/U3UMsQ5B8c",POS,POS,politico,POS
24,1.42045e+18,"Es un altísimo honor llevar las demandas y la voz ciudadana, especialmente de los pueblos oprimidos. Forjemos un país a la altura de su milenaria historia, un país del cual las generaciones venideras se sientan orgullosos. Queridas hermanas y hermanos, no los defraudaremos. https://t.co/GZUiD0bZC2",POS,POS,politico,POS
25,1.42018e+18,Tuvimos un agradable encuentro con el Rey Felipe VI de España. Conversamos sobre los vínculos culturales de ambos países y sobre el fortalecimiento de nuestros lazos de amistad. #SeguimosAdelante https://t.co/brrOo9Gere,POS,POS,politico,POS
26,1.42016e+18,"Agradezco la visita del presidente de Ecuador, Guillermo Lasso (@LassoGuillermo). Fructífera reunión donde conversamos sobre la integración regional, la pandemia, el respeto a los DD. HH. y el fortalecimiento de la democracia. #SeguimosAvanzando https://t.co/LqbzKwfi3V",POS,POS,politico,POS
27,1.41987e+18,"Saludamos la elección de la nueva presidenta del Congreso, María del Carmen Alva. Expresamos nuestra voluntad para trabajar juntos en este #PerúDelBicentenario",POS,POS,politico,POS
29,1.41801e+18,"Junto a la vicepresidenta electa, @DinaErcilia, nos reunimos hoy con el presidente @FSagasti en el Palacio de Gobierno para tratar sobre el proceso de transferencia y diversos temas del acontecer nacional. #SeguimosAdelante https://t.co/e1qd0HhgmM",POS,POS,politico,POS
30,1.41728e+18,"¡Gracias pueblo peruano por este histórico triunfo! Ha llegado el momento de llamar a todos los sectores de la sociedad para construir unidos, en este Bicentenario, un Perú inclusivo, un Perú justo, un Perú Libre. Sin discriminación y por los derechos y todos y todas. (1/2) https://t.co/JmMdT9miaY",POS,POS,politico,POS
31,1.41727e+18,Invitamos hoy al pueblo peruano a nuestro local ubicado en la avenida 9 de Diciembre 301 (ex Paseo Colón) para celebrar juntos esta histórica victoria. Nos vemos a las 7:30 p.m. https://t.co/DwrVcHZlDP,POS,POS,politico,POS
32,1.4166e+18,Gracias amado pueblo peruano por salir nuevamente a las calles a exigir al JNE nuestra inmediata proclamación como presidente de la República. El pueblo organizado no permitirá más burlas a su voluntad. Nada impedirá coronar este histórico y democrático triunfo popular. https://t.co/d5UCVsqqjZ,POS,POS,politico,POS
33,1.41582e+18,"Nos reunimos con Liang Yu, embajador de la República Popular China en Perú (@ChinaEmbPeru), para priorizar los lazos de hermandad y cooperación entre ambos países. #SeguimosAvanzando https://t.co/hDAzEbGU0M",POS,POS,politico,POS
34,1.414e+18,Agradezco al Colegio Químico Farmacéutico del Perú por invitarme al evento donde reconocieron a diversos profesionales de la educación por el Día del Docente Universitario. ¡Sigamos escribiendo nuestra propia historia! https://t.co/On2sTCFmKZ,POS,POS,politico,POS
35,1.41259e+18,"Gracias hermanos y hermanas por su amoroso calor. Mi eterna gratitud al pueblo peruano por reconocer la noble misión de los maestros, formadores de la patria, y listos, a puertas del Bicentenario, para abrir un nuevo surco en la historia de nuestro país 🇵🇪 https://t.co/DoeapJYtT2",POS,POS,politico,POS
36,1.41241e+18,Un inmenso abrazo de aprecio y respeto a los miles de maestros/as que imparten conocimientos y abonan valores en millones de niños y adolescentes peruanos. Unidos venceremos las dificultades y avanzaremos hasta lograr que el sol de la justicia brille para todos/as. #DíaDelMaestro https://t.co/qPcgnGs2bF,POS,POS,politico,POS
37,1.41189e+18,"Siento profunda alegría y emoción por la designación de mi hermana @ElisaLoncon, admirable lideresa mapuche, como presidenta de la #ConvenciónConstituyente instalada hoy en Chile. Una gran noticia para los pueblos indígenas. ¡Son vientos de una Latinoamérica más fraterna y justa! https://t.co/CDlHryiQPe",POS,POS,politico,POS
38,1.41042e+18,"Tuve un fructífero encuentro con Jerí Ramón, la primera rectora en la historia de la @UNMSM_, donde conversamos sobre la descentralización de la educación superior, el ingreso libre a las universidades y el importante legado de la Decana de América. ¡Avanzamos hacia el progreso! https://t.co/GTS9eKHqcj",POS,POS,politico,POS
40,1.43133e+18,"Agradezco al Pleno del @congresoperu por otorgar el #VotoDeConfianza. La búsqueda de consensos nos permitirá gobernar junto con el pueblo y por el desarrollo de políticas públicas con carácter social. Como #GobiernoDelBicentenario, llegaremos a todos los rincones del Perú. https://t.co/4tfBCaLgBg",POS,POS,politico,POS
41,1.42996e+18,"Nuestro Gobierno impulsa una agenda comercial descentralizada como uno de los principales ejes de la reactivación económica. La riqueza y megadiversidad que tenemos permitirá abrir nuevos mercados y oportunidades de negocios del Perú con el mundo, como en la Expo 2020 Dubái. https://t.co/Bpg8h6vUub",POS,POS,politico,POS
42,1.42954e+18,Mi solidaridad y apoyo desde el @MimpPeru a los familiares de las víctimas del crimen en Ancón. Felicito la rápida intervención de la @PoliciaPeru en este caso. Desde el sector Interior garantizaremos la seguridad en todo el país y combatiremos con firmeza la delincuencia.,POS,POS,politico,POS
43,1.42883e+18,"El #GobiernoDelBicentenario hoy hace historia con el inicio de obras del proyecto de agua potable y alcantarillado Nueva Rinconada. Mi compromiso es con los beneficiarios de San Juan de Miraflores, Villa María del Triunfo y Villa El Salvador, y con los más necesitados del país. https://t.co/ZYOHRVY0qJ",POS,POS,politico,POS
45,1.4285e+18,"Tenemos que poner en valor el esfuerzo del personal de @SedapalOficial y de las empresas prestadoras de saneamiento en las regiones del país. Con la visita a La Atarjea, constatamos el trabajo de la producción y distribución del agua, para que este recurso llegue a más peruanos. https://t.co/BEn8NDigkH",POS,POS,politico,POS
47,1.42815e+18,"Mi reconocimiento a las mujeres y hombres que conforman el @EjercitoPeru en el bicentenario de su creación. En ellos vive el legado de honor y coraje de quienes, con espíritu patriótico, entregaron su vida por nuestra soberanía y la seguridad de todos los peruanos https://t.co/XYemmYhI0Z",POS,POS,politico,POS
48,1.42701e+18,"La niñez peruana es nuestro presente y esperanzador porvenir. Como gobierno nos aseguraremos de beneficiarla con una educación y salud integrales. Además, trabajaremos por el respeto de todos sus derechos para una vida digna y sin violencia. #DíaDelNiño https://t.co/6YrQeZ3Wic",POS,POS,politico,POS
49,1.44146e+18,"En el Día de las FF. AA., envío un afectuoso saludo al glorioso @CCFFAA_PERU por hacer del país un lugar íntegro, soberano e independiente. En la digna unidad con ustedes, y bajo la tutela de los héroes Bolognesi, Grau y Quiñones, haremos grande el Perú. #GraciasFuerzasArmadas https://t.co/cI7ctnNjdV",POS,POS,politico,POS
50,1.43902e+18,"Sostuvimos una fructífera reunión con el empresario mexicano Carlos Slim, donde abordamos la importancia de las inversiones sostenibles. Acordamos que la @Fund_CarlosSlim apoyará en la implementación de programas de conectividad digital, en favor de la educación, salud y trabajo. https://t.co/TIRA5QOiBP",POS,POS,politico,POS
51,1.43899e+18,"Agradezco el fraterno recibimiento del canciller de México, @m_ebrard y de la secretaria de @cultura_mx, @alefrausto. Estamos seguros que la cumbre de la CELAC será histórica y marcará un nuevo capítulo de hermanamiento y apoyo social entre nuestros pueblos. https://t.co/hg0bE5w4ZG",POS,POS,politico,POS
52,1.43614e+18,"Son, en total, más de 25 millones de soles que se transfiere a favor del Fondo @MiviviendaPeru. Seguimos trabajando para atender las necesidades del pueblo. #PromesaCumplida https://t.co/kr1RsWYoMX",POS,POS,politico,POS
