,target
0,NEG
1,NEG
2,NEG
3,NEG
4,NEG
5,NEG
6,NEG
7,NEG
8,NEU
9,NEU
10,NEU
11,NEU
12,NEU
13,NEU
14,NEU
15,NEU
16,POS
17,POS
18,NEG
19,NEG
20,NEG
21,NEG
22,POS
23,POS
24,POS
25,POS
26,POS
27,NEU
28,NEG
29,NEG
30,NEG
31,POS
32,POS
33,NEU
34,POS
35,NEU
36,NEG
37,NEG
38,POS
39,POS
40,POS
41,POS
42,POS
43,POS
44,NEU
45,NEG
46,NEG
47,NEG
48,POS
49,POS
50,POS
51,POS
52,POS
53,NEU
54,NEU
55,NEU
56,POS
57,POS
58,POS
59,POS
60,POS
61,POS
62,POS
63,POS
64,POS
65,POS
66,POS
67,POS
68,POS
69,POS
70,POS
71,POS
72,POS
73,POS
74,POS
75,NEU
76,NEU
77,POS
78,POS
79,NEU
80,NEU
81,NEU
82,NEG
83,POS
84,POS
85,NEU
86,NEG
87,NEG
88,POS
89,POS
90,POS
91,POS
92,POS
93,POS
94,POS
95,POS
96,NEU
97,NEU
98,POS
99,POS
100,POS
101,POS
102,POS
103,POS
104,POS
105,POS
106,POS
107,POS
108,POS
109,POS
110,POS
111,POS
112,POS
113,POS
114,POS
115,POS
116,POS
117,POS
118,NEU
119,NEU
120,POS
121,POS
122,POS
123,POS
124,POS
125,POS
126,POS
127,POS
128,POS
129,POS
130,POS
131,POS
132,POS
133,POS
134,POS
135,POS
136,POS
137,POS
138,NEU
139,NEU
140,POS
141,POS
142,POS
143,NEG
144,NEG
145,NEG
146,NEG
147,POS
148,POS
149,POS
150,POS
151,NEU
152,NEU
153,POS
154,POS
155,POS
156,POS
157,POS
158,POS
159,POS
160,POS
161,POS
162,POS
163,POS
164,POS
165,POS
166,POS
167,POS
168,POS
169,POS
170,POS
171,POS
172,POS
173,POS
174,POS
175,POS
176,POS
177,NEU
178,NEU
179,POS
180,POS
181,POS
182,POS
183,POS
184,POS
185,POS
186,NEU
187,POS
188,POS
189,NEU
190,NEU
191,NEU
192,NEU
193,NEU
194,POS
195,POS
196,POS
197,POS
198,POS
199,NEU
200,NEU
201,NEU
202,NEU
203,NEU
204,POS
205,POS
206,POS
207,POS
208,NEU
209,POS
210,POS
211,NEU
212,POS
213,NEU
214,NEU
215,POS
216,POS
217,NEU
218,NEU
219,NEU
220,NEU
221,POS
222,POS
223,POS
224,NEG
225,NEG
226,NEG
227,POS
228,POS
229,POS
230,POS
231,POS
232,POS
233,NEU
234,POS
235,POS
236,POS
237,POS
238,POS
239,NEG
240,NEG
241,NEG
242,NEG
243,NEG
244,NEG
245,NEG
246,NEG
247,POS
248,POS
249,POS
250,POS
251,POS
252,POS
253,NEU
254,NEU
255,POS
256,POS
257,POS
258,POS
259,NEU
260,POS
261,POS
262,NEU
263,NEG
264,NEG
265,NEG
266,NEG
267,POS
268,POS
269,POS
270,NEU
271,NEU
272,NEU
273,POS
274,POS
275,POS
276,POS
277,POS
278,POS
279,POS
280,NEU
281,NEU
282,NEU
283,NEU
284,NEU
285,POS
286,POS
287,POS
288,POS
289,POS
290,POS
291,POS
292,NEU
293,NEU
294,NEU
295,NEU
296,POS
297,POS
298,NEU
299,NEU
300,NEU
301,NEU
302,NEU
303,NEU
304,NEU
305,POS
306,POS
307,NEU
308,NEU
309,POS
310,POS
311,POS
312,POS
313,POS
314,POS
315,NEU
316,POS
317,POS
318,NEU
319,NEU
320,POS
321,POS
322,POS
323,POS
324,NEU
325,NEU
326,NEU
327,POS
328,POS
329,NEU
330,NEU
331,NEU
332,NEU
333,POS
334,POS
335,POS
